listing,price,brand,size
"The SAK Shoulder Purse Crochet Bag Blue White Woven Double Strap 10""X14"" Handbag",24.0,The Sak,OS
VINTAGE 80’s leather elephant wallet,15.0,Vintage,OS
"SOHO London New York Sm Makeup Case Pink/Purple 6.5""x3.25""x3""",15.0,SOHO London New York,"6.5""x3.25""x3"""
"Michael Kors Reed Small Satchel Crossbody Bag & Large Trifold Wallet Light Pink
          
      NWT",259.0,Michael Kors,OS
"KARL LAGERFELD Women’s Purse,Crossbody.NWT.
          
      NWT",200.0,Karl Lagerfeld,OS
Multicolored Boho Style Bag By Like International,15.0,Like International,OS
Hand Tooled Hand Painted  Leather Hand Bag Moroccan,28.0,,OS
"Black Faux Fur Crossbody Clutch
          
      Boutique",52.0,,"15""L x 8""H"
Women's bag,25.0,MICHAEL Michael Kors,OS
Kipling Sabian Mini Crossbody Bag,38.0,Kipling,OS
Latico Brown Leather Shoulder Purse Tote Bag Distressed Top Zipper Double Handle,100.0,latico,OS
Madewell Large Transport Camera Bag Camel Color Leather Two Straps,46.0,Madewell,OS
💎✨HOT BUY✨💎AUTHENTIC LV Saumur 30 Crossbody,945.0,Louis Vuitton,OS
Louis Vuitton Epi Porte Monnaie Viennois Wallet in Toledo Blue,205.0,Louis Vuitton,OS
💎✨STUNNING✨💎Authentic VALENTINO RED Shoulder bag,441.0,Valentino,OS
"🍓NWT Michael Kors Voyager Set
          
      NWT",290.0,Michael Kors,OS
"Montana West Blue Leather Shoulder Bag, Nee Without Tag
          
      NWT",18.0,Montana West,OS
Brown Leather Crossbody Dome bag purse. Bee motif. Pre-owned,33.0,,OS
💕 Rachel pally reversible clutch nwot cute 💕,45.0,Rachel Pally,10 1/2 x 7 in
"Kate Spade White Wristlet with Minnie Mouse Design
          
      NWT",68.0,kate spade,OS
"Crossbody Strap, Replacement Handbag Strap, Guitar Strap, Adjustable
          
      NWT",23.0,,27”-49”
Brahmin Cami Satchel Timeless Taupe Ombre Melbourne,72.0,Brahmin,OS
"Coach Signature Blue and Tan Shoulder Bag
          
      NWT",125.0,Coach,OS
"Stylish Beige Fur Handbag with Gold Accents by Steve Madden
          
      NWT",38.0,Steve Madden,OS
Coach Beige Leather Shoulder Bag,45.0,Coach,OS
Kate Spade | Dawn Place Embroidered Madelyne shoulder bag,60.0,kate spade,OS
"🌹🤍💎 NWT Charming Charlie Satin Rose Kiss Lock Diamond Purse in Snowy White
          
      NWT",34.0,Charming Charlie,OS
LOUIS VUITTON Juliette MM Blue Monogram Mini Lin Shoulder Bag #58519,550.0,Louis Vuitton,OS
"Vera Bradley Where’s Mickey? Purse and wristlet wallet bundle
          
      NWT",150.0,Vera Bradley,OS
Stylish Elephant Black and Pink Vera Bradley Tote Bag,20.0,Vera Bradley,OS
"NWT Betsey Johnson BETSEYVILLE CALL ME PHONE TOTE
          
      NWT",158.0,Betsey Johnson,OS
COCCINELLE Hot Pink Women's Pebbled Soft Leather Wallet Handmade In Italy Summer,85.0,Coccinelle,OS
Louis Vuitton Epi Green Tassil Leather Elise Bifold Vintage Wallet SP0998,79.0,Louis Vuitton,OS
NWOT Madden Girl Leopard and Black Satchel,17.0,Madden Girl,OS
MCM BUCKET BAG With Lock,149.0,MCM,OS
lululemon athletica Black and Green belt bag,43.0,lululemon athletica,OS
Unbranded Embroidered Floral Ethnic‎ Travel Medium Backpack -NEW,15.0,,Medium
Fossil blue black leather organizer crossbody bag,31.0,Fossil,OS
"Dabney Lee | Cosmetic Bag Pink Watermelon Print
          
      NWT",18.0,Dabney Lee,10 x 6 x 4
Kate spade leopard slim phone case/wallet. Can be worn crossbody. Brand new,70.0,kate spade,OS
"Calpak Lavender Backpack with Zipper Detail
          
      NWT",150.0,Calpak,OS
Authentic Chanel Vintage Black Duma Leather Quilted Mini backpack with 24k,4995.0,CHANEL,OS
Vtg COACH Hampton caramel leather Y2K Demi small shoulder bag 7540,135.0,Coach,OS
Suo•nv Purse,15.0,SUO•NY,OS
Christian Siriano for Payless Tote Bag Faux Leather Black and Grey,30.0,Christian Siriano,OS
Kate Spade Lilac Patent Leather Tote,150.0,kate spade,OS
Disney parks pin and keychain display backpack blue,22.0,Disney,OS
Luv Betsy By Betsy Johnson Striped Mini Crossbody Purse Bag white black pink,17.0,Luv Betsey by Betsey Johnson,OS
⭐🔥AUTHENTIC🔥⭐Louis Vuitton Drouot Crossbody,985.0,Louis Vuitton,OS
Coach Brooke Convertible Pewter Silver Metallic Shoulder Bag like new,99.0,Coach,OS
Kate Spade Vibrant Red Quilted Mini Bag,80.0,kate spade,OS
Vera Bradley Hadley Rain Forest Crossbody Quilted Bag,25.0,Vera Bradley,OS
Betsey Johnson Yorkie Mini Backpack Purse Yellow Black Bag,42.0,Betsey Johnson,OS
Calvin Klein Hudson Signature CK Cream&Tan Satchel Shoulder Bag,69.0,Calvin Klein,OS
Coach Women's Red Wallet-purses,50.0,Coach,OS
"NWT Trina Turk - Wine/Tan; Double Handle/Cross Body Purse with Card Holder
          
      NWT",42.0,Trina Turk,OS
Vintage Woven Straw Raffia Purse Clutch Embroidered Flowers Handbag Boho,40.0,,OS
"🆕 Straw Beach Bag,Women Hobo Summer Woven Large Handbags Straw Tote Bag",25.0,,OS
"Michael Kors Charlotte Large Leather Top-Zip Tote Bag - Vanilla/Brown
          
      NWT",169.0,Michael Kors,Large
"Michael Kors Mirella small shopper crossbody bag canvas pink powder blush
          
      NWT",348.0,Michael Kors,OS
